latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.862915,12.539912,54.0,0,GMT,GMT

time,temperature_2m (°C),wind_speed_10m (m/s),shortwave_radiation (W/m²)
1577836800,0.2,1.88,0.0
1577840400,0.1,2.47,0.0
1577844000,-0.3,2.91,0.0
1577847600,0.0,2.78,0.0
1577851200,-0.2,3.00,0.0
1577854800,-0.3,2.95,0.0
1577858400,-0.5,2.47,0.0
1577862000,-0.6,2.78,3.0
1577865600,1.9,2.94,90.0
1577869200,4.7,2.64,227.0
1577872800,7.3,2.28,339.0
1577876400,9.4,2.06,407.0
1577880000,10.9,0.98,419.0
1577883600,11.7,0.82,377.0
1577887200,11.6,1.00,281.0
1577890800,9.9,1.55,150.0
1577894400,7.6,1.80,26.0
1577898000,6.5,1.40,0.0
1577901600,5.4,2.83,0.0
1577905200,4.9,2.97,0.0
1577908800,6.0,1.78,0.0
1577912400,5.3,2.16,0.0
1577916000,3.8,1.88,0.0
1577919600,2.8,2.06,0.0
1577923200,3.6,3.26,0.0
1577926800,2.9,3.61,0.0
1577930400,2.1,2.94,0.0
1577934000,1.2,2.42,0.0
1577937600,0.6,2.86,0.0
1577941200,0.4,2.88,0.0
1577944800,0.1,2.80,0.0
1577948400,0.1,2.78,3.0
1577952000,2.7,2.92,91.0
1577955600,5.7,2.28,228.0
1577959200,8.5,1.84,339.0
1577962800,10.6,1.24,404.0
1577966400,11.8,1.14,415.0
1577970000,12.8,0.80,372.0
1577973600,12.8,0.81,279.0
1577977200,10.8,1.41,150.0
1577980800,7.9,1.75,27.0
1577984400,7.9,1.36,0.0
1577988000,6.4,1.33,0.0
1577991600,5.5,1.91,0.0
1577995200,4.8,2.10,0.0
1577998800,4.5,1.93,0.0
1578002400,3.0,2.22,0.0
1578006000,3.4,2.56,0.0
1578009600,3.3,2.64,0.0
1578013200,3.3,1.97,0.0
1578016800,3.2,2.06,0.0
1578020400,3.3,2.28,0.0
1578024000,2.7,1.72,0.0
1578027600,2.9,1.92,0.0
1578031200,2.6,1.97,0.0
1578034800,2.7,2.14,3.0
1578038400,3.8,2.58,80.0
1578042000,5.6,2.26,209.0
1578045600,7.4,2.20,322.0
1578049200,9.2,2.00,408.0
1578052800,11.0,2.00,418.0
1578056400,11.9,1.50,373.0
1578060000,12.2,1.08,280.0
1578063600,10.6,1.21,151.0
1578067200,8.4,1.66,27.0
1578070800,6.4,2.44,0.0
1578074400,5.5,2.73,0.0
1578078000,5.1,2.55,0.0
1578081600,5.7,1.71,0.0
1578085200,4.9,1.61,0.0
1578088800,4.1,2.24,0.0
1578092400,3.5,2.64,0.0
1578096000,3.1,2.28,0.0
1578099600,4.0,1.65,0.0
1578103200,4.3,1.91,0.0
1578106800,3.6,2.46,0.0
1578110400,4.4,1.58,0.0
1578114000,3.9,2.42,0.0
1578117600,3.8,1.77,0.0
1578121200,4.2,2.43,3.0
1578124800,6.1,2.40,63.0
1578128400,8.1,2.20,170.0
1578132000,9.8,2.14,289.0
1578135600,11.2,2.27,349.0
1578139200,12.0,1.41,360.0
1578142800,12.4,1.64,240.0
1578146400,12.5,1.42,199.0
1578150000,12.3,0.73,109.0
1578153600,11.6,0.89,22.0
1578157200,8.8,2.31,0.0
1578160800,8.3,2.28,0.0
1578164400,6.8,2.25,0.0
1578168000,7.2,2.01,0.0
1578171600,5.7,2.11,0.0
1578175200,5.9,2.19,0.0
1578178800,5.3,2.02,0.0
1578182400,5.5,2.50,0.0
1578186000,3.8,2.64,0.0
1578189600,3.0,2.36,0.0
1578193200,3.6,1.65,0.0
1578196800,3.8,2.56,0.0
1578200400,3.6,2.94,0.0
1578204000,3.3,2.78,0.0
1578207600,3.3,2.83,3.0
1578211200,4.6,3.11,88.0
1578214800,7.2,2.13,226.0
1578218400,9.1,2.30,342.0
1578222000,11.0,2.06,413.0
1578225600,12.0,1.53,429.0
1578229200,12.7,1.28,382.0
1578232800,13.3,1.08,290.0
1578236400,12.7,3.19,161.0
1578240000,10.1,4.95,32.0
1578243600,8.4,3.70,0.0
1578247200,7.2,3.80,0.0
1578250800,5.9,3.28,0.0
1578254400,4.6,2.41,0.0
1578258000,3.6,2.25,0.0
1578261600,2.0,2.01,0.0
1578265200,1.3,2.02,0.0
1578268800,1.0,2.69,0.0
1578272400,1.4,2.25,0.0
1578276000,2.3,2.51,0.0
1578279600,2.1,2.77,0.0
1578283200,2.0,3.27,0.0
1578286800,1.8,3.42,0.0
1578290400,1.5,3.27,0.0
1578294000,1.4,3.45,3.0
1578297600,3.0,3.96,93.0
1578301200,5.2,3.85,234.0
1578304800,7.4,4.00,350.0
1578308400,9.1,4.11,419.0
1578312000,10.7,4.33,433.0
1578315600,10.9,4.43,389.0
1578319200,10.7,4.24,296.0
1578322800,9.4,4.12,165.0
1578326400,7.5,3.90,33.0
1578330000,5.6,1.86,0.0
1578333600,3.2,2.06,0.0
1578337200,2.7,1.42,0.0
1578340800,2.0,2.30,0.0
1578344400,1.5,2.10,0.0
1578348000,0.8,1.68,0.0
1578351600,0.0,1.57,0.0
1578355200,0.1,2.56,0.0
1578358800,-0.0,2.47,0.0
1578362400,-0.2,2.62,0.0
1578366000,-0.3,2.56,0.0
1578369600,-0.5,2.70,0.0
1578373200,-0.8,2.98,0.0
1578376800,-1.1,2.62,0.0
1578380400,-0.7,2.25,3.0
1578384000,1.9,1.98,91.0
1578387600,4.8,1.94,229.0
1578391200,6.8,1.75,342.0
1578394800,8.8,1.28,409.0
1578398400,9.5,0.92,381.0
1578402000,9.4,1.00,287.0
1578405600,9.4,0.89,261.0
1578409200,8.2,1.22,131.0
1578412800,6.3,1.20,25.0
1578416400,5.6,1.08,0.0
1578420000,3.8,1.26,0.0
1578423600,3.3,1.65,0.0
1578427200,2.3,1.92,0.0
1578430800,2.4,2.02,0.0
1578434400,2.4,1.57,0.0
1578438000,2.3,1.61,0.0
1578441600,2.7,1.70,0.0
1578445200,4.1,1.49,0.0
1578448800,4.2,2.19,0.0
1578452400,4.2,2.34,0.0
1578456000,3.5,2.14,0.0
1578459600,2.8,2.14,0.0
1578463200,2.5,2.48,0.0
1578466800,2.7,2.90,3.0
1578470400,4.4,3.26,88.0
1578474000,6.4,3.11,225.0
1578477600,8.6,2.75,339.0
1578481200,10.3,3.05,409.0
1578484800,11.4,1.91,424.0
1578488400,12.4,1.03,387.0
1578492000,12.5,1.24,297.0
1578495600,11.1,1.28,167.0
1578499200,8.8,1.63,36.0
1578502800,10.0,1.26,0.0
1578506400,7.2,2.06,0.0
1578510000,5.0,2.83,0.0
1578513600,4.9,2.56,0.0
1578517200,3.8,2.53,0.0
1578520800,2.6,2.28,0.0
1578524400,2.4,1.97,0.0
1578528000,1.3,2.42,0.0
1578531600,2.5,2.13,0.0
1578535200,1.8,2.05,0.0
1578538800,1.4,1.98,0.0
1578542400,1.0,2.14,0.0
1578546000,0.9,1.92,0.0
1578549600,0.9,1.94,0.0
1578553200,0.9,2.06,4.0
1578556800,2.8,2.64,93.0
1578560400,5.4,1.92,233.0
1578564000,8.0,1.46,349.0
1578567600,9.9,1.22,419.0
1578571200,10.6,0.64,434.0
1578574800,11.5,0.20,394.0
1578578400,11.5,0.14,302.0
1578582000,10.3,0.85,171.0
1578585600,6.7,1.28,38.0
1578589200,5.6,1.22,0.0
1578592800,6.0,0.86,0.0
1578596400,5.9,0.89,0.0
1578600000,5.9,1.82,0.0
1578603600,4.5,2.28,0.0
1578607200,3.2,2.66,0.0
1578610800,2.6,3.00,0.0
1578614400,2.5,2.78,0.0
1578618000,2.3,2.42,0.0
1578621600,1.9,2.30,0.0
1578625200,2.9,2.25,0.0
1578628800,2.9,2.42,0.0
1578632400,3.0,2.42,0.0
1578636000,2.7,2.59,0.0
1578639600,2.8,2.77,3.0
1578643200,5.1,2.73,78.0
1578646800,7.9,1.63,211.0
1578650400,9.9,1.63,284.0
1578654000,11.4,1.56,321.0
1578657600,12.9,1.28,368.0
1578661200,13.4,1.08,352.0
1578664800,13.4,0.80,273.0
1578668400,13.1,0.76,157.0
1578672000,11.9,0.95,35.0
1578675600,8.7,1.22,0.0
1578679200,6.3,1.70,0.0
1578682800,5.6,2.28,0.0
1578686400,5.3,1.84,0.0
1578690000,5.2,2.51,0.0
1578693600,5.0,1.97,0.0
1578697200,4.4,1.72,0.0
1578700800,4.2,2.60,0.0
1578704400,5.5,2.08,0.0
1578708000,4.1,2.36,0.0
1578711600,3.7,2.15,0.0
1578715200,3.8,2.33,0.0
1578718800,3.3,2.46,0.0
1578722400,2.6,2.61,0.0
1578726000,1.9,2.91,4.0
1578729600,3.7,2.58,92.0
1578733200,6.3,1.84,231.0
1578736800,8.9,1.84,348.0
1578740400,11.0,1.80,417.0
1578744000,12.3,1.65,433.0
1578747600,12.9,1.80,393.0
1578751200,12.6,2.02,302.0
1578754800,11.3,1.17,174.0
1578758400,10.8,1.03,41.0
1578762000,10.1,0.72,0.0
1578765600,8.1,1.02,0.0
1578769200,6.8,1.51,0.0
1578772800,6.0,2.22,0.0
1578776400,5.6,1.84,0.0
1578780000,3.9,1.49,0.0
1578783600,2.9,1.89,0.0
1578787200,2.9,1.61,0.0
1578790800,3.2,1.78,0.0
1578794400,3.2,2.16,0.0
1578798000,2.9,2.11,0.0
1578801600,2.5,1.94,0.0
1578805200,2.0,2.00,0.0
1578808800,1.4,2.20,0.0
1578812400,1.4,2.42,4.0
1578816000,3.7,2.97,95.0
1578819600,6.0,2.78,237.0
1578823200,8.7,2.13,352.0
1578826800,11.1,1.93,421.0
1578830400,12.5,1.71,437.0
1578834000,13.3,1.50,400.0
1578837600,13.4,1.14,309.0
1578841200,12.0,1.49,179.0
1578844800,11.0,1.79,44.0
1578848400,8.7,2.11,0.0
1578852000,6.3,2.91,0.0
1578855600,5.3,2.88,0.0
1578859200,5.9,1.88,0.0
1578862800,5.2,1.64,0.0
1578866400,4.6,2.19,0.0
1578870000,3.6,1.75,0.0
1578873600,3.0,2.06,0.0
1578877200,2.6,2.36,0.0
1578880800,2.1,2.33,0.0
1578884400,2.2,1.77,0.0
1578888000,2.6,1.63,0.0
1578891600,2.5,1.78,0.0
1578895200,2.2,1.70,0.0
1578898800,2.1,1.84,4.0
1578902400,3.9,2.34,93.0
1578906000,6.5,2.28,234.0
1578909600,8.9,2.15,351.0
1578913200,11.1,1.44,421.0
1578916800,12.2,0.98,440.0
1578920400,12.9,0.54,360.0
1578924000,12.7,1.06,276.0
1578927600,11.7,0.81,145.0
1578931200,8.7,1.30,38.0
1578934800,8.3,1.70,0.0
1578938400,6.5,1.22,0.0
1578942000,6.0,1.00,0.0
1578945600,6.2,1.03,0.0
1578949200,5.9,1.30,0.0
1578952800,5.4,2.15,0.0
1578956400,5.7,2.06,0.0
1578960000,7.4,1.64,0.0
1578963600,7.2,1.64,0.0
1578967200,7.5,0.94,0.0
1578970800,6.7,1.78,0.0
1578974400,4.7,2.36,0.0
1578978000,4.9,1.98,0.0
1578981600,4.4,2.19,0.0
1578985200,4.2,2.22,3.0
1578988800,6.2,1.70,67.0
1578992400,8.1,1.61,180.0
1578996000,10.0,1.71,288.0
1578999600,11.4,1.55,349.0
1579003200,12.8,1.00,372.0
1579006800,13.4,0.28,378.0
1579010400,13.2,1.03,302.0
1579014000,12.8,0.72,171.0
1579017600,12.1,0.63,44.0
1579021200,11.0,1.20,0.0
1579024800,9.8,1.46,0.0
1579028400,9.0,1.66,0.0
1579032000,5.7,2.33,0.0
1579035600,4.5,2.35,0.0
1579039200,3.9,2.34,0.0
1579042800,2.9,2.73,0.0
1579046400,2.5,2.44,0.0
1579050000,3.6,1.71,0.0
1579053600,2.8,1.94,0.0
1579057200,2.1,2.14,0.0
1579060800,1.7,2.22,0.0
1579064400,1.5,1.94,0.0
1579068000,1.3,1.84,0.0
1579071600,1.4,1.86,4.0
1579075200,3.6,2.25,98.0
1579078800,6.5,1.75,240.0
1579082400,9.2,1.43,358.0
1579086000,11.2,0.91,430.0
1579089600,12.6,0.89,448.0
1579093200,13.0,1.21,412.0
1579096800,12.8,1.17,321.0
1579100400,11.9,0.91,189.0
1579104000,11.4,0.92,50.0
1579107600,10.2,0.73,0.0
1579111200,9.2,0.42,0.0
1579114800,7.8,1.34,0.0
1579118400,6.9,1.68,0.0
1579122000,4.8,2.41,0.0
1579125600,3.5,3.00,0.0
1579129200,3.9,2.11,0.0
1579132800,3.7,2.39,0.0
1579136400,3.6,2.19,0.0
1579140000,2.7,2.62,0.0
1579143600,2.9,1.86,0.0
1579147200,3.0,1.84,0.0
1579150800,2.7,2.02,0.0
1579154400,2.8,2.20,0.0
1579158000,3.2,2.46,5.0
1579161600,4.9,2.56,93.0
1579165200,6.8,2.41,222.0
1579168800,8.5,2.28,328.0
1579172400,9.9,2.16,378.0
1579176000,10.9,2.14,365.0
1579179600,11.4,1.82,324.0
1579183200,11.5,1.04,243.0
1579186800,10.7,0.54,152.0
1579190400,8.4,1.22,49.0
1579194000,7.3,0.85,0.0
1579197600,7.0,0.86,0.0
1579201200,8.3,0.81,0.0
1579204800,5.2,2.14,0.0
1579208400,3.8,2.70,0.0
1579212000,3.7,2.28,0.0
1579215600,3.2,2.22,0.0
1579219200,2.7,2.86,0.0
1579222800,3.3,1.72,0.0
1579226400,2.7,1.94,0.0
1579230000,2.9,1.70,0.0
1579233600,2.6,2.30,0.0
1579237200,2.4,1.97,0.0
1579240800,2.3,1.89,0.0
1579244400,2.4,2.06,5.0
1579248000,3.9,2.41,99.0
1579251600,5.9,2.20,244.0
1579255200,8.0,2.06,363.0
1579258800,9.9,1.50,434.0
1579262400,11.9,0.95,450.0
1579266000,12.8,1.43,413.0
1579269600,12.8,1.53,307.0
1579273200,12.0,1.27,174.0
1579276800,10.3,2.20,48.0
1579280400,9.1,2.32,0.0
1579284000,7.1,2.71,0.0
1579287600,8.6,1.10,0.0
1579291200,5.9,1.58,0.0
1579294800,6.1,1.56,0.0
1579298400,5.7,1.56,0.0
1579302000,5.7,1.70,0.0
1579305600,8.6,0.92,0.0
1579309200,8.1,0.50,0.0
1579312800,5.9,1.78,0.0
1579316400,7.2,2.30,0.0
1579320000,8.4,2.93,0.0
1579323600,8.4,2.93,0.0
1579327200,8.3,2.92,0.0
1579330800,8.6,3.85,2.0
1579334400,9.4,4.95,49.0
1579338000,10.1,5.23,113.0
1579341600,10.8,4.53,157.0
1579345200,11.3,4.31,215.0
1579348800,11.8,3.44,304.0
1579352400,10.9,3.78,113.0
1579356000,11.0,3.20,92.0
1579359600,10.5,3.00,102.0
1579363200,9.8,2.26,38.0
1579366800,9.1,1.44,0.0
1579370400,9.4,1.36,0.0
1579374000,7.1,1.77,0.0
1579377600,6.2,2.00,0.0
1579381200,5.3,2.30,0.0
1579384800,5.2,1.64,0.0
1579388400,5.0,1.72,0.0
1579392000,5.8,1.50,0.0
1579395600,5.8,1.57,0.0
1579399200,5.5,2.36,0.0
1579402800,5.0,2.36,0.0
1579406400,4.0,1.84,0.0
1579410000,3.7,1.92,0.0
1579413600,3.4,1.77,0.0
1579417200,3.5,2.37,5.0
1579420800,4.6,2.30,90.0
1579424400,6.3,2.36,224.0
1579428000,9.1,2.22,362.0
1579431600,11.5,1.28,414.0
1579435200,13.0,1.91,450.0
1579438800,12.9,1.49,323.0
1579442400,12.6,0.50,206.0
1579446000,11.6,1.90,138.0
1579449600,9.7,1.40,39.0
1579453200,8.4,1.80,0.0
1579456800,9.1,2.02,0.0
1579460400,9.0,2.21,0.0
1579464000,8.1,2.15,0.0
1579467600,7.8,2.11,0.0
1579471200,7.2,2.08,0.0
1579474800,7.2,1.94,0.0
1579478400,5.7,2.66,0.0
1579482000,6.6,1.97,0.0
1579485600,6.8,2.33,0.0
1579489200,6.8,2.86,0.0
1579492800,6.5,2.91,0.0
1579496400,6.5,2.79,0.0
1579500000,6.6,2.80,0.0
1579503600,6.2,2.75,4.0
1579507200,7.5,2.69,66.0
1579510800,9.3,2.94,174.0
1579514400,11.4,3.58,337.0
1579518000,12.4,3.54,331.0
1579521600,12.7,3.67,329.0
1579525200,12.7,2.77,199.0
1579528800,12.9,2.46,183.0
1579532400,11.4,2.15,59.0
1579536000,10.2,2.47,22.0
1579539600,9.3,2.80,0.0
1579543200,8.5,2.69,0.0
1579546800,8.0,2.94,0.0
1579550400,7.0,2.42,0.0
1579554000,6.6,2.69,0.0
1579557600,6.2,2.62,0.0
1579561200,6.0,2.33,0.0
1579564800,5.4,2.06,0.0
1579568400,5.6,2.84,0.0
1579572000,4.8,3.02,0.0
1579575600,4.1,2.91,0.0
1579579200,3.8,2.92,0.0
1579582800,3.3,3.04,0.0
1579586400,3.1,2.69,0.0
1579590000,3.1,2.97,6.0
1579593600,4.9,3.02,105.0
1579597200,7.4,3.18,248.0
1579600800,10.2,2.95,366.0
1579604400,12.4,2.69,442.0
1579608000,13.3,3.04,462.0
1579611600,14.0,2.63,426.0
1579615200,14.0,2.50,332.0
1579618800,13.1,1.70,206.0
1579622400,10.4,1.77,60.0
1579626000,8.6,1.70,0.0
1579629600,7.2,1.96,0.0
1579633200,6.5,1.63,0.0
1579636800,6.2,1.39,0.0
1579640400,6.1,1.43,0.0
1579644000,5.6,1.89,0.0
1579647600,5.1,2.20,0.0
1579651200,5.0,2.05,0.0
1579654800,4.4,2.44,0.0
1579658400,3.8,2.30,0.0
1579662000,3.4,2.37,0.0
1579665600,3.0,2.16,0.0
1579669200,2.9,2.39,0.0
1579672800,2.8,2.22,0.0
1579676400,2.9,2.11,6.0
1579680000,5.3,2.05,103.0
1579683600,8.0,1.75,246.0
1579687200,10.3,1.65,368.0
1579690800,12.1,1.40,445.0
1579694400,13.2,0.58,466.0
1579698000,14.1,0.10,429.0
1579701600,14.3,0.50,332.0
1579705200,13.9,0.60,206.0
1579708800,12.6,1.20,67.0
1579712400,8.9,1.92,0.0
1579716000,7.6,1.82,0.0
1579719600,7.1,1.61,0.0
1579723200,6.7,1.63,0.0
1579726800,6.3,1.49,0.0
1579730400,5.4,2.31,0.0
1579734000,5.4,2.38,0.0
1579737600,4.4,2.04,0.0
1579741200,3.4,2.50,0.0
1579744800,4.0,1.66,0.0
1579748400,3.1,1.92,0.0
1579752000,2.9,1.75,0.0
1579755600,3.4,1.48,0.0
1579759200,2.6,2.14,0.0
1579762800,3.1,1.30,7.0
1579766400,5.4,2.06,106.0
1579770000,7.7,2.15,249.0
1579773600,10.1,2.06,370.0
1579777200,11.9,1.46,451.0
1579780800,13.0,1.14,471.0
1579784400,13.6,1.17,439.0
1579788000,13.8,0.82,348.0
1579791600,13.4,0.45,216.0
1579795200,10.7,1.20,71.0
1579798800,8.8,1.12,1.0
1579802400,8.7,0.92,0.0
1579806000,7.5,0.57,0.0
1579809600,7.1,0.81,0.0
1579813200,5.7,1.46,0.0
1579816800,4.8,2.12,0.0
1579820400,4.2,1.99,0.0
1579824000,3.6,2.44,0.0
1579827600,3.1,2.25,0.0
1579831200,2.9,2.12,0.0
1579834800,2.9,2.33,0.0
1579838400,3.5,2.18,0.0
1579842000,3.4,2.06,0.0
1579845600,3.0,2.21,0.0
1579849200,3.3,2.35,7.0
1579852800,7.5,1.73,105.0
1579856400,10.6,1.20,212.0
1579860000,12.9,2.20,278.0
1579863600,14.1,3.96,324.0
1579867200,13.5,1.75,295.0
1579870800,13.6,2.53,169.0
1579874400,13.5,2.89,142.0
1579878000,12.8,3.52,69.0
1579881600,12.0,4.25,22.0
1579885200,11.3,3.81,0.0
1579888800,10.7,3.49,0.0
1579892400,10.0,3.61,0.0
1579896000,10.0,4.58,0.0
1579899600,10.3,4.83,0.0
1579903200,10.4,4.74,0.0
1579906800,10.6,5.10,0.0
1579910400,10.4,3.68,0.0
1579914000,11.0,4.39,0.0
1579917600,10.8,4.32,0.0
1579921200,11.0,4.10,0.0
1579924800,10.7,4.10,0.0
1579928400,10.2,2.76,0.0
1579932000,10.5,3.47,0.0
1579935600,11.2,4.74,2.0
1579939200,11.4,4.94,42.0
1579942800,12.2,4.76,120.0
1579946400,13.3,4.25,194.0
1579950000,14.1,4.97,291.0
1579953600,14.4,3.30,327.0
1579957200,14.6,3.30,306.0
1579960800,14.1,3.44,223.0
1579964400,13.5,2.92,132.0
1579968000,12.2,1.87,52.0
1579971600,10.8,2.01,1.0
1579975200,10.4,2.16,0.0
1579978800,10.0,1.92,0.0
1579982400,8.5,2.77,0.0
1579986000,8.0,2.97,0.0
1579989600,8.9,2.21,0.0
1579993200,8.3,2.09,0.0
1579996800,7.7,1.70,0.0
1580000400,8.1,1.36,0.0
1580004000,7.4,1.35,0.0
1580007600,6.9,1.84,0.0
1580011200,6.3,2.24,0.0
1580014800,6.5,1.86,0.0
1580018400,6.7,1.53,0.0
1580022000,6.0,1.72,6.0
1580025600,8.2,1.72,74.0
1580029200,9.7,1.46,155.0
1580032800,11.2,1.30,218.0
1580036400,12.0,1.36,244.0
1580040000,13.7,0.73,255.0
1580043600,14.2,1.08,337.0
1580047200,13.1,1.52,263.0
1580050800,12.3,0.92,154.0
1580054400,11.8,0.67,54.0
1580058000,11.4,0.41,1.0
1580061600,10.8,1.00,0.0
1580065200,9.6,1.12,0.0
1580068800,7.3,1.70,0.0
1580072400,6.1,2.06,0.0
1580076000,5.4,2.36,0.0
1580079600,5.8,2.00,0.0
1580083200,6.8,1.75,0.0
1580086800,6.1,1.84,0.0
1580090400,5.3,1.70,0.0
1580094000,4.9,1.64,0.0
1580097600,4.7,1.92,0.0
1580101200,3.2,2.20,0.0
1580104800,3.2,1.79,0.0
1580108400,4.5,1.98,9.0
1580112000,5.9,2.28,115.0
1580115600,7.8,1.75,244.0
1580119200,9.9,1.49,354.0
1580122800,11.5,0.92,420.0
1580126400,13.2,0.32,437.0
1580130000,13.8,0.99,367.0
1580133600,13.8,2.00,289.0
1580137200,13.3,2.19,177.0
1580140800,11.7,2.02,68.0
1580144400,10.2,3.00,1.0
1580148000,9.6,2.88,0.0
1580151600,9.7,2.80,0.0
1580155200,9.6,2.16,0.0
1580158800,10.5,2.91,0.0
1580162400,11.2,3.60,0.0
1580166000,11.1,3.79,0.0
1580169600,11.2,3.40,0.0
1580173200,11.3,3.00,0.0
1580176800,10.8,2.82,0.0
1580180400,10.4,2.94,0.0
1580184000,10.1,3.20,0.0
1580187600,9.9,2.86,0.0
1580191200,10.0,3.40,0.0
1580194800,10.0,3.35,8.0
1580198400,11.6,3.54,89.0
1580202000,13.1,3.42,168.0
1580205600,13.3,4.74,206.0
1580209200,12.9,4.95,133.0
1580212800,12.5,4.77,107.0
1580216400,13.0,5.11,126.0
1580220000,14.0,5.22,205.0
1580223600,13.7,4.48,142.0
1580227200,13.1,4.69,53.0
1580230800,12.9,4.65,1.0
1580234400,12.7,4.03,0.0
1580238000,12.5,4.12,0.0
1580241600,12.3,3.72,0.0
1580245200,11.6,3.00,0.0
1580248800,11.4,2.62,0.0
1580252400,10.7,2.41,0.0
1580256000,10.6,1.61,0.0
1580259600,9.1,1.90,0.0
1580263200,9.3,1.89,0.0
1580266800,10.1,2.05,0.0
1580270400,9.6,1.89,0.0
1580274000,8.7,2.69,0.0
1580277600,8.7,2.56,0.0
1580281200,9.1,2.15,8.0
1580284800,11.6,1.61,113.0
1580288400,13.4,1.12,241.0
1580292000,14.4,2.32,324.0
1580295600,14.8,2.53,344.0
1580299200,14.5,0.57,352.0
1580302800,15.2,2.28,319.0
1580306400,14.6,3.60,246.0
1580310000,14.2,3.22,169.0
1580313600,12.8,3.51,70.0
1580317200,10.9,2.55,2.0
1580320800,9.6,2.35,0.0
1580324400,8.8,2.06,0.0
1580328000,8.3,2.10,0.0
1580331600,8.5,1.28,0.0
1580335200,6.3,1.79,0.0
1580338800,5.4,2.18,0.0
1580342400,5.8,1.61,0.0
1580346000,5.2,2.43,0.0
1580349600,6.5,2.06,0.0
1580353200,4.3,2.61,0.0
1580356800,3.8,2.64,0.0
1580360400,4.9,1.88,0.0
1580364000,4.9,2.12,0.0
1580367600,4.8,1.70,11.0
1580371200,6.4,2.19,116.0
1580374800,8.5,2.19,262.0
1580378400,10.7,2.62,391.0
1580382000,12.7,0.81,477.0
1580385600,14.6,0.98,499.0
1580389200,15.1,3.13,469.0
1580392800,14.7,3.37,370.0
1580396400,14.1,3.00,242.0
1580400000,12.3,2.71,89.0
1580403600,10.6,2.69,3.0
1580407200,9.9,3.55,0.0
1580410800,9.9,3.47,0.0
1580414400,10.6,3.28,0.0
1580418000,11.0,3.33,0.0
1580421600,10.7,3.41,0.0
1580425200,11.0,3.22,0.0
1580428800,10.7,3.31,0.0
1580432400,11.0,3.42,0.0
1580436000,11.2,3.13,0.0
1580439600,11.1,3.18,0.0
1580443200,11.1,3.22,0.0
1580446800,11.1,2.95,0.0
1580450400,11.1,2.92,0.0
1580454000,11.3,2.88,2.0
1580457600,11.7,3.31,22.0
1580461200,12.1,3.18,42.0
1580464800,12.8,2.73,79.0
1580468400,13.5,3.51,129.0
1580472000,13.4,2.21,147.0
1580475600,13.6,2.33,101.0
1580479200,13.6,2.25,104.0
1580482800,13.7,1.93,116.0
1580486400,13.0,1.87,40.0
1580490000,12.2,2.02,2.0
1580493600,11.5,1.86,0.0
1580497200,11.3,1.63,0.0
1580500800,11.1,1.77,0.0
1580504400,10.6,1.70,0.0
1580508000,9.3,1.89,0.0
1580511600,9.2,1.71,0.0
1580515200,9.1,2.37,0.0
1580518800,9.9,1.91,0.0
1580522400,10.0,1.70,0.0
1580526000,10.1,1.60,0.0
1580529600,10.6,1.36,0.0
1580533200,10.7,1.49,0.0
1580536800,10.7,1.89,0.0
1580540400,11.4,1.42,6.0
1580544000,12.8,1.66,72.0
1580547600,13.8,1.53,155.0
1580551200,14.8,2.42,209.0
1580554800,15.3,3.03,239.0
1580558400,14.5,3.72,111.0
1580562000,13.9,3.49,117.0
1580565600,14.1,2.51,133.0
1580569200,14.0,2.06,106.0
1580572800,13.1,1.43,35.0
1580576400,11.9,1.40,2.0
1580580000,12.1,1.51,0.0
1580583600,11.9,2.12,0.0
1580587200,11.6,2.02,0.0
1580590800,10.5,1.91,0.0
1580594400,10.7,2.21,0.0
1580598000,11.2,2.46,0.0
1580601600,11.6,2.16,0.0
1580605200,12.0,2.20,0.0
1580608800,12.0,1.81,0.0
1580612400,12.0,1.40,0.0
1580616000,11.7,1.49,0.0
1580619600,11.6,1.53,0.0
1580623200,11.7,2.31,0.0
1580626800,12.2,2.47,8.0
1580630400,13.2,2.72,94.0
1580634000,14.5,2.42,222.0
1580637600,15.2,2.60,266.0
1580641200,15.6,2.79,243.0
1580644800,15.2,2.28,285.0
1580648400,15.3,2.76,183.0
1580652000,15.6,2.94,216.0
1580655600,14.8,3.06,99.0
1580659200,14.0,2.51,61.0
1580662800,12.9,2.63,3.0
1580666400,12.4,3.18,0.0
1580670000,12.0,3.14,0.0
1580673600,12.2,3.45,0.0
1580677200,12.1,3.11,0.0
1580680800,12.0,2.61,0.0
1580684400,12.0,2.01,0.0
1580688000,12.4,2.76,0.0
1580691600,12.5,2.06,0.0
1580695200,12.3,2.12,0.0
1580698800,12.2,2.36,0.0
1580702400,12.2,2.15,0.0
1580706000,11.4,1.84,0.0
1580709600,11.9,2.06,0.0
1580713200,12.0,1.91,11.0
1580716800,13.8,2.22,107.0
1580720400,15.5,1.49,243.0
1580724000,16.5,1.43,360.0
1580727600,17.6,1.00,472.0
1580731200,17.9,3.10,453.0
1580734800,18.3,2.01,367.0
1580738400,18.5,1.10,366.0
1580742000,18.1,0.86,232.0
1580745600,16.4,1.20,88.0
1580749200,14.0,1.66,5.0
1580752800,12.9,1.30,0.0
1580756400,11.2,1.40,0.0
1580760000,11.3,1.33,0.0
1580763600,10.6,1.17,0.0
1580767200,10.2,1.26,0.0
1580770800,9.9,1.30,0.0
