location,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Wind Speed,Wind Direction,Shortwave Radiation
unit,°C,km/h,°,W/m²
level,2 m elevation corrected,10 m,10 m,sfc
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel Shortwave Radiation
20200105T1100,4.9102454,2.7416782,66.8014,236.0
20200105T1200,6.1402454,2.4149535,26.565033,258.0
20200105T1300,6.920245,3.8939953,33.690063,247.0
20200105T1400,7.150245,4.8965297,36.027374,192.0
20200105T1500,6.520245,3.8939953,33.690063,108.0
20200105T1600,3.9502454,6.4096174,38.157227,21.0
20200105T1700,2.1002455,6.4096174,51.842773,0.0
20200105T1800,1.1102455,6.151683,69.443954,0.0
20200105T1900,0.6702454,5.0911684,81.869896,0.0
20200105T2000,-0.03975457,4.3349743,94.76365,0.0
20200105T2100,-0.5697546,4.0249224,100.30484,0.0
20200105T2200,-0.62975454,4.39436,124.99202,0.0
20200105T2300,-0.85975456,4.8433046,131.98721,0.0
20200106T0000,-0.87975454,4.5820518,135.0,0.0
20200106T0100,-1.2497545,4.3349743,131.63353,0.0
20200106T0200,-1.1597546,4.5820518,135.0,0.0
20200106T0300,-1.2997546,4.198285,149.03624,0.0
20200106T0400,-1.4997545,4.3498964,155.55605,0.0
20200106T0500,-1.1597546,5.1919937,146.30994,0.0
20200106T0600,-1.1897546,5.634891,153.43495,0.0
20200106T0700,-1.2197546,6.151683,159.44395,0.0
20200106T0800,-1.0897546,5.95906,154.98311,10.0
20200106T0900,-0.39975458,5.815978,158.1986,82.0
20200106T1000,0.7302454,6.9527545,158.7495,175.0
20200106T1100,1.7702454,7.754637,158.1986,253.0
20200106T1200,3.1102452,7.754637,158.1986,295.0
20200106T1300,4.0502453,7.0911775,156.0375,277.0
20200106T1400,4.7602453,5.991594,147.26477,218.0
20200106T1500,3.7102456,5.154415,155.22485,120.0
20200106T1600,0.9902454,5.4833565,156.8014,24.0
20200106T1700,0.5902454,5.95906,154.98311,0.0
20200106T1800,0.4802454,6.439876,153.43495,0.0
20200106T1900,0.17024541,5.95906,154.98311,0.0
20200106T2000,0.4502454,6.28713,166.75948,0.0
20200106T2100,1.0202454,6.4799995,180.0,0.0
20200106T2200,1.1202455,7.2805495,188.53076,0.0
20200106T2300,1.0802454,6.5693827,189.46233,0.0
20200107T0000,0.89024544,5.7599998,180.0,0.0
20200107T0100,0.5602454,5.7599998,180.0,0.0
20200107T0200,1.3602455,6.28713,193.24052,0.0
20200107T0300,1.2302454,6.28713,203.62938,0.0
20200107T0400,1.6402454,7.0911775,203.9625,0.0
20200107T0500,2.4002454,7.289445,212.90524,0.0
20200107T0600,2.9502454,7.653705,221.18593,0.0
20200107T0700,3.3002453,6.1305785,220.23636,0.0
20200107T0800,3.5302453,5.6233797,219.80557,2.0
20200107T0900,3.5102453,5.3517847,222.27368,14.0
20200107T1000,4.5602455,4.198285,210.96376,35.0
20200107T1100,5.8102455,4.510787,208.61046,88.0
20200107T1200,6.880245,5.6233797,230.19443,159.0
20200107T1300,7.3402452,5.815978,248.1986,116.0
20200107T1400,7.4302454,3.9763298,264.80557,110.0
20200107T1500,7.2602453,0.0,180.0,69.0
20200107T1600,6.8102455,1.1384199,108.434944,14.0
20200107T1700,6.1202455,2.5959969,123.69006,0.0
20200107T1800,4.670245,5.6002855,135.0,0.0
20200107T1900,3.7602453,6.696387,143.74615,0.0
20200107T2000,3.2802453,6.12,151.9275,0.0
20200107T2100,2.6302452,5.154415,155.22485,0.0
20200107T2200,0.9002454,4.1046314,164.74487,0.0
20200107T2300,0.5302454,4.3498964,155.55605,0.0
20200108T0000,0.5302454,6.924738,171.02737,0.0
20200108T0100,0.3802454,4.896529,162.89728,0.0
20200108T0200,0.22024539,4.39436,145.00798,0.0
20200108T0300,0.030245423,6.6185193,157.61987,0.0
20200108T0400,-0.09975457,5.506941,168.69006,0.0
20200108T0500,-0.29975462,5.937272,165.96376,0.0
20200108T0600,0.030245423,5.937272,165.96376,0.0
20200108T0700,0.4202454,6.489992,160.55997,0.0
20200108T0800,0.8102454,6.151683,159.44395,11.0
20200108T0900,1.8102454,6.9899354,168.11134,64.0
20200108T1000,2.9902453,8.4042845,170.13419,114.0
20200108T1100,4.3702455,7.9526596,174.80557,128.0
20200108T1200,5.5502453,5.771239,176.42366,141.0
20200108T1300,6.710245,5.4119864,176.18593,135.0
