run_id,hour,Radiation,CO2,CO,PM10,PM25,CO2_Removed_g,CO_Removed_ug,PM10_Removed_ug,PM25_Removed_ug,O2_Produced_g
0,0,0.0,483.4347015164219,312.72712650163703,29.922117486237575,13.611598468957414,293.06082090985313,67549.0593243536,258527.09508109267,70562.52646307524,211.00379105509424
0,1,0.0,477.9009181752201,306.25739099011577,28.936437019291496,13.563482377113527,289.74055090513207,66151.59645386502,250010.81584667854,70313.09264295652,208.6131966516951
0,2,0.0,478.08428732740066,299.09603728434087,33.37280406700605,14.172711518192575,289.8505723964404,64604.744053417635,288341.0271389323,73471.3365103103,208.69241212543707
0,3,0.0,474.42696650032883,291.7539464250087,32.132342812869595,14.96838170211307,287.6561799001973,63018.852427801874,277623.4419031933,77596.09074375415,207.11244952814204
0,4,0.0,472.9415528704039,284.00900936972675,31.671483354264858,17.25944836144317,286.76493172224235,61345.946023860975,273641.61618084845,89472.98030572139,206.4707508400145
0,5,1400.0,473.3046030583373,289.6652764742697,30.306488394677352,15.737509710403927,3226.982761835002,62567.69971844226,261848.05973001235,81583.25033873395,2323.4275885212014
0,6,1400.0,469.5956642551613,301.0522496543464,30.279291116087467,21.31489784843086,3224.757398553096,65027.28592533882,261613.07524299572,110496.43044626557,2321.825326958229
0,7,1400.0,467.28965080780927,312.96795846660694,29.22554839137157,19.399393386484157,3223.3737904846853,67601.0790287871,252508.73810145038,100566.45531553385,2320.829129148973
0,8,1400.0,456.98703825124846,297.5059989701647,27.587307872846743,19.213224561977285,3217.1922229507486,64261.295777555584,238354.34002139588,99601.35612929023,2316.378400524539
0,9,1400.0,454.96760989990486,282.27064045894406,28.82853802845094,17.774928273517805,3215.9805659399426,60970.45833913192,249078.56856581615,92145.22816991628,2315.5060074767584
0,10,1400.0,448.5809806804458,271.81962787000043,25.427474680776523,17.41677950273385,3212.148588408267,58713.039619920106,219693.38124190917,90288.58494217227,2312.746983653952
0,11,1400.0,440.74383244266005,256.99039962697907,23.822933187584653,15.098603852179767,3207.4462994655955,55509.92631942748,205830.1427407314,78271.16236969992,2309.3613356152287
0,12,114.54902189628103,424.4992749835349,253.78405042062988,30.382409321395222,14.29971525476601,498.2525109723111,54817.354890856055,262504.01653685473,74129.723880707,358.741807900064
0,13,1400.0,420.4387686522777,246.46549541241973,32.22709035626522,13.48124631862784,3195.263261191366,53236.547009082664,278442.0606781316,69886.7809157667,2300.5895480577833
0,14,1400.0,418.47496881925326,249.90063498549034,31.372644999673934,14.712912953824127,3194.0849812915517,53978.53715686592,271059.6527971828,76271.74075262428,2299.7411865299173
0,15,0.0,417.56964741620726,250.39543520442848,31.256369405573157,15.078416803571148,253.54178844972438,54085.414004156555,270055.03166415205,78166.51270971283,182.55008768380154
0,16,1400.0,427.7203752096977,263.3286590686868,31.429524371329162,16.441167088264397,3199.632225125818,56878.99035883636,271551.090568284,85231.01018556263,2303.7352020905887
0,17,1400.0,433.45654517601827,282.1184784447131,39.64752506930856,19.91917512097954,3203.0739271056104,60937.59134405803,342554.6165988259,103261.00382715791,2306.2132275160393
0,18,1400.0,443.08537038733505,304.3155227796885,40.09587058822337,20.94682685848418,3208.8512222324007,65732.15292041271,346428.3218822499,108588.35043438198,2310.3728800073286
0,19,0.0,453.0611449766702,323.39184098923766,41.33778539280175,21.778537513732893,274.8366869860021,69852.63765367532,357158.4657938071,112899.9384711913,197.88241462992153
0,20,0.0,456.0645910955849,330.37792015243065,41.384651419655434,22.974135684358128,276.63875465735094,71361.63075292502,357563.388265823,119097.91938771252,199.17990335329267
0,21,0.0,455.70292613751036,334.61492069977606,40.90224195119512,23.35752266591214,276.4217556825062,72276.82287115164,353395.37045832584,121085.39750008853,199.02366409140447
0,22,0.0,450.7950381777512,332.2405364633228,43.89027111155025,21.202474305614103,273.47702290665075,71763.95587607773,379211.94240379415,109913.62680030351,196.90345649278854
0,23,0.0,438.0644601688627,325.80922830787677,41.014091928812704,18.952069182278954,265.8386761013176,70374.7933145014,354361.7542649418,98247.5266409341,191.40384679294868
1,0,0.0,492.95484827406335,204.29533627166813,27.711732397440485,23.481484247941825,298.77290896443805,44127.792634680314,239429.36791388577,121728.0143413304,215.1164944543954
1,1,0.0,483.42094159731005,201.4535247129623,28.475127344656702,23.152486627364343,293.05256495838603,43513.961337999855,246025.1002578339,120022.49067625676,210.99784677003794
1,2,0.0,475.1131412183369,190.664247054372,25.41127409376454,21.929434203328803,288.06788473100215,41183.47736374436,219553.40817012562,113682.18691005651,207.40887700632155
1,3,0.0,471.93640659621,183.3221561950398,23.810658722595285,21.1023929324287,286.16184395772603,39597.585738128604,205724.09136322327,109394.80496171037,206.03652764956274
1,4,0.0,479.6743199668276,179.5772191397579,22.128074217730102,19.572006351401885,290.8045919800966,38788.679334187706,191186.5612411881,101461.28092566738,209.37930622566952
1,5,0.0,488.0282277204105,181.23348624430085,21.564767676769236,21.112730035289673,295.81693663224627,39146.43302876898,186319.59272728622,109448.39250294166,212.98819437521732
1,6,1400.0,488.73890291809545,196.6204594243775,25.251531567322097,19.12458252040681,3236.243341750857,42470.01923566553,218173.2327416629,99141.83578578889,2330.095206060617
1,7,0.0,480.7266185766263,208.53616823663805,24.711274574447977,25.8619405378397,291.4359711459758,45043.81233911382,213505.41232323053,134068.299748161,209.83389922510258
1,8,0.0,473.1095486240098,193.0742087401958,24.210683482054712,23.810946965426254,286.8657291744059,41704.02908788229,209180.30528495272,123435.9490687697,206.54332500557223
