hour,Temp_C_Trend,Wind_ms_Trend,Radiation_Wm2_Trend
0,13.756978653530378,2.204926108374384,0.0
1,13.599781061850027,2.210224411603722,0.0
2,13.278927203065134,2.2462287903667213,0.0
3,12.972523262178434,2.296102900930487,0.0
4,12.73951833607006,2.3236343732895457,0.3404488232074439
5,12.946141215106731,2.363880678708265,16.430760810071156
6,13.839901477832512,2.351943076081007,74.78817733990148
7,15.375807334428023,2.401663929939792,178.8839627805145
8,17.320525451559934,2.4357635467980296,316.99014778325125
9,19.11056376573618,2.5044280240831966,449.03886152162016
10,20.488888888888887,2.720848385331144,545.0930487137383
11,21.37159277504105,3.0181061850027366,593.8730158730159
12,21.552654625068417,3.197432950191571,589.0470717022441
13,21.631636562671044,3.3896332785987955,528.0574712643678
14,21.322988505747126,3.4861193212917354,448.9272030651341
15,20.624083196496986,3.3996278051450464,338.13081554460865
16,19.473399014778327,3.240864805692392,211.99671592775042
17,18.206294471811713,2.9125396825396828,103.32567049808429
18,16.981663929939792,2.59464148877942,32.476190476190474
19,16.05752599890531,2.395429666119321,2.839080459770115
20,15.418445539135194,2.291231527093596,0.0
21,14.894526546250685,2.2411165845648604,0.0
22,14.454679802955665,2.222895457033388,0.0
23,14.047837985769021,2.214750957854406,0.0
