Timestamp,Temperature_Residual,Wind_Speed_Residual,Radiation_Residual
2020-01-01 00:00:00,-13.55697865353038,-0.3249261083743842,0.0
2020-01-01 01:00:00,-13.499781061850028,0.25977558839627823,0.0
2020-01-01 02:00:00,-13.578927203065135,0.6637712096332788,0.0
2020-01-01 03:00:00,-12.972523262178434,0.48389709906951284,0.0
2020-01-01 04:00:00,-12.939518336070059,0.6763656267104543,-0.3404488232074439
2020-01-01 05:00:00,-13.246141215106732,0.586119321291735,-16.430760810071156
2020-01-01 06:00:00,-14.339901477832512,0.11805692391899303,-74.78817733990148
2020-01-01 07:00:00,-15.975807334428023,0.37833607006020786,-175.8839627805145
2020-01-01 08:00:00,-15.420525451559934,0.5042364532019703,-226.99014778325125
2020-01-01 09:00:00,-14.410563765736182,0.13557197591680348,-222.03886152162016
2020-01-01 10:00:00,-13.188888888888886,-0.44084838533114423,-206.0930487137383
2020-01-01 11:00:00,-11.971592775041051,-0.9581061850027366,-186.8730158730159
2020-01-01 12:00:00,-10.652654625068417,-2.217432950191571,-170.04707170224412
2020-01-01 13:00:00,-9.931636562671045,-2.5696332785987956,-151.0574712643678
2020-01-01 14:00:00,-9.722988505747127,-2.4861193212917354,-167.9272030651341
2020-01-01 15:00:00,-10.724083196496986,-1.8496278051450463,-188.13081554460865
2020-01-01 16:00:00,-11.873399014778327,-1.440864805692392,-185.99671592775042
2020-01-01 17:00:00,-11.706294471811713,-1.5125396825396829,-103.32567049808429
2020-01-01 18:00:00,-11.581663929939792,0.23535851122058027,-32.476190476190474
2020-01-01 19:00:00,-11.157525998905308,0.5745703338806791,-2.839080459770115
2020-01-01 20:00:00,-9.418445539135194,-0.5112315270935961,0.0
2020-01-01 21:00:00,-9.594526546250684,-0.08111658456486026,0.0
2020-01-01 22:00:00,-10.654679802955666,-0.342895457033388,0.0
2020-01-01 23:00:00,-11.24783798576902,-0.15475095785440596,0.0
2020-01-02 00:00:00,-10.156978653530379,1.0550738916256157,0.0
2020-01-02 01:00:00,-10.699781061850027,1.399775588396278,0.0
2020-01-02 02:00:00,-11.178927203065134,0.6937712096332787,0.0
2020-01-02 03:00:00,-11.772523262178435,0.12389709906951296,0.0
2020-01-02 04:00:00,-12.13951833607006,0.5363656267104542,-0.3404488232074439
2020-01-02 05:00:00,-12.546141215106731,0.5161193212917348,-16.430760810071156
2020-01-02 06:00:00,-13.739901477832513,0.44805692391899266,-74.78817733990148
2020-01-02 07:00:00,-15.275807334428023,0.37833607006020786,-175.8839627805145
2020-01-02 08:00:00,-14.620525451559935,0.4842364532019703,-225.99014778325125
2020-01-02 09:00:00,-13.410563765736182,-0.22442802408319684,-221.03886152162016
2020-01-02 10:00:00,-11.988888888888887,-0.880848385331144,-206.0930487137383
2020-01-02 11:00:00,-10.771592775041052,-1.7781061850027366,-189.8730158730159
2020-01-02 12:00:00,-9.752654625068416,-2.057432950191571,-174.04707170224412
2020-01-02 13:00:00,-8.831636562671044,-2.5896332785987957,-156.0574712643678
2020-01-02 14:00:00,-8.522988505747126,-2.6761193212917354,-169.9272030651341
2020-01-02 15:00:00,-9.824083196496986,-1.9896278051450464,-188.13081554460865
2020-01-02 16:00:00,-11.573399014778326,-1.490864805692392,-184.99671592775042
2020-01-02 17:00:00,-10.306294471811713,-1.5525396825396827,-103.32567049808429
2020-01-02 18:00:00,-10.581663929939792,-1.2646414887794197,-32.476190476190474
2020-01-02 19:00:00,-10.557525998905309,-0.48542966611932115,-2.839080459770115
2020-01-02 20:00:00,-10.618445539135195,-0.19123152709359603,0.0
2020-01-02 21:00:00,-10.394526546250685,-0.31111658456486047,0.0
2020-01-02 22:00:00,-11.454679802955665,-0.0028954570333876717,0.0
2020-01-02 23:00:00,-10.647837985769021,0.34524904214559404,0.0
2020-01-03 00:00:00,-10.456978653530378,0.43507389162561605,0.0
2020-01-03 01:00:00,-10.299781061850027,-0.240224411603722,0.0
2020-01-03 02:00:00,-10.078927203065135,-0.18622879036672124,0.0
2020-01-03 03:00:00,-9.672523262178434,-0.016102900930487163,0.0
2020-01-03 04:00:00,-10.03951833607006,-0.6036343732895457,-0.3404488232074439
2020-01-03 05:00:00,-10.046141215106731,-0.4438806787082652,-16.430760810071156
2020-01-03 06:00:00,-11.239901477832513,-0.3819430760810072,-74.78817733990148
2020-01-03 07:00:00,-12.675807334428022,-0.2616639299397918,-175.8839627805145
2020-01-03 08:00:00,-13.520525451559934,0.14423645320197043,-236.99014778325125
2020-01-03 09:00:00,-13.510563765736181,-0.24442802408319686,-240.03886152162016
2020-01-03 10:00:00,-13.088888888888887,-0.5208483853311439,-223.0930487137383
2020-01-03 11:00:00,-12.171592775041052,-1.0181061850027366,-185.8730158730159
2020-01-03 12:00:00,-10.552654625068417,-1.1974329501915708,-171.04707170224412
2020-01-03 13:00:00,-9.731636562671044,-1.8896332785987955,-155.0574712643678
2020-01-03 14:00:00,-9.122988505747127,-2.4061193212917353,-168.9272030651341
2020-01-03 15:00:00,-10.024083196496987,-2.1896278051450464,-187.13081554460865
2020-01-03 16:00:00,-11.073399014778326,-1.5808648056923922,-184.99671592775042
2020-01-03 17:00:00,-11.806294471811713,-0.4725396825396828,-103.32567049808429
2020-01-03 18:00:00,-11.481663929939792,0.13535851122058018,-32.476190476190474
2020-01-03 19:00:00,-10.957525998905309,0.15457033388067876,-2.839080459770115
2020-01-03 20:00:00,-9.718445539135192,-0.5812315270935962,0.0
2020-01-03 21:00:00,-9.994526546250684,-0.6311165845648603,0.0
