hour,Temp_Trend,Wind_Trend,Rad_Trend
0,9.70957757002207,1.8759742587651282,0.0
1,9.392467548547147,1.840178737932555,0.0
2,9.133162654298479,1.8172590050872712,0.0
3,8.933638859349557,1.8081427818083684,0.0
4,8.775647610218567,1.7945362522441162,0.30596606458675424
5,8.934974383820471,1.7913013622346896,11.632731253420909
6,9.583042262669402,1.845978044517424,50.13191023535851
7,10.558948134406677,1.9428898242869306,114.88177339901478
8,11.729084936447729,2.08959937168704,203.1735084838533
9,12.942265024802955,2.254883066747248,302.9792008757526
10,14.058422665945265,2.2427710092744633,388.1253420908593
11,14.987979329232797,2.493786665027671,443.5249042145594
12,15.695395865950738,2.5970170020525454,460.20197044334975
13,16.171870967614122,2.6056892190232928,437.5336617405583
14,16.377935561592775,2.560384180780576,381.6683087027915
15,16.246129327580185,2.4621822977376393,298.70607553366176
16,15.717689240993431,2.3383796885148698,201.9168035030104
17,14.84672043429701,2.176392512643678,114.33880678708265
18,13.7298950313607,2.056433143200754,49.74055829228243
19,12.575001755411057,2.0233741422337777,12.230979748221127
20,11.664602166091035,1.991196451155507,0.41598248494800216
21,10.972451127570332,1.9497902922596242,0.0
22,10.461257910507388,1.8742242069984187,0.0
23,10.054881326043963,1.8928102549124248,0.0
